Industry,Date,Month,Year,Employment,MoM Change,MoM Growth,YoY Growth,Moving Average,Volatility
Leisure and hospitality,6/1/2025,6,2025,16837000,-2000,-0.000118772,0.005554228,16837333,0.00144486
Leisure and hospitality,7/1/2025,7,2025,16848000,11000,0.000653323,0.005790699,16841333,0.00144486
Leisure and hospitality,8/1/2025,8,2025,16870000,22000,0.001305793,0.007404753,16851666,0.00144486
Leisure and hospitality,9/1/2025,9,2025,16907000,37000,0.002193242,0.007808774,16875000,0.00144486
Leisure and hospitality,10/1/2025,10,2025,16948000,41000,0.002425031,0.008869576,16908333,0.00144486
Leisure and hospitality,11/1/2025,11,2025,16936000,-12000,-0.000708048,0.006716995,16930333,0.00144486
Leisure and hospitality,12/1/2025,12,2025,16981000,45000,0.002657062,0.007057289,16955000,0.00144486
Manufacturing,1/1/2024,1,2024,12875000,NULL,NULL,NULL,12875000,0.001087798
Manufacturing,2/1/2024,2,2024,12852000,-23000,-0.001786408,NULL,12863500,0.001087798
Manufacturing,3/1/2024,3,2024,12836000,-16000,-0.001244942,NULL,12854333,0.001087798
Manufacturing,4/1/2024,4,2024,12833000,-3000,-0.000233718,NULL,12840333,0.001087798
Manufacturing,5/1/2024,5,2024,12825000,-8000,-0.000623393,NULL,12831333,0.001087798
Manufacturing,6/1/2024,6,2024,12814000,-11000,-0.0008577,NULL,12824000,0.001087798
Manufacturing,7/1/2024,7,2024,12806000,-8000,-0.000624317,NULL,12815000,0.001087798
Manufacturing,8/1/2024,8,2024,12772000,-34000,-0.002655005,NULL,12797333,0.001087798
Manufacturing,9/1/2024,9,2024,12758000,-14000,-0.001096148,NULL,12778666,0.001087798
Manufacturing,10/1/2024,10,2024,12697000,-61000,-0.004781314,NULL,12742333,0.001087798
Manufacturing,11/1/2024,11,2024,12711000,14000,0.001102623,NULL,12722000,0.001087798
Manufacturing,12/1/2024,12,2024,12693000,-18000,-0.001416096,NULL,12700333,0.001087798
Manufacturing,1/1/2025,1,2025,12673000,-20000,-0.001575672,-0.01568932,12692333,0.001087798
Manufacturing,2/1/2025,2,2025,12671000,-2000,-0.000157816,-0.014083411,12679000,0.001087798
Manufacturing,3/1/2025,3,2025,12666000,-5000,-0.000394602,-0.013244001,12670000,0.001087798
Manufacturing,4/1/2025,4,2025,12662000,-4000,-0.000315806,-0.013325021,12666333,0.001087798
Manufacturing,5/1/2025,5,2025,12651000,-11000,-0.000868741,-0.013567251,12659666,0.001087798
Manufacturing,6/1/2025,6,2025,12636000,-15000,-0.001185677,-0.013891057,12649666,0.001087798
Manufacturing,7/1/2025,7,2025,12625000,-11000,-0.000870529,-0.014134,12637333,0.001087798
Manufacturing,8/1/2025,8,2025,12615000,-10000,-0.000792079,-0.012292515,12625333,0.001087798
Manufacturing,9/1/2025,9,2025,12612000,-3000,-0.000237812,-0.0114438,12617333,0.001087798
Manufacturing,10/1/2025,10,2025,12603000,-9000,-0.000713606,-0.007403324,12610000,0.001087798
Manufacturing,11/1/2025,11,2025,12593000,-10000,-0.000793462,-0.009283298,12602666,0.001087798
Manufacturing,12/1/2025,12,2025,12585000,-8000,-0.000635274,-0.008508627,12593666,0.001087798
Professional and business services,1/1/2024,1,2024,22668000,NULL,NULL,NULL,22668000,0.001126033
Professional and business services,2/1/2024,2,2024,22658000,-10000,-0.000441151,NULL,22663000,0.001126033
Professional and business services,3/1/2024,3,2024,22631000,-27000,-0.001191632,NULL,22652333,0.001126033
Professional and business services,4/1/2024,4,2024,22616000,-15000,-0.000662808,NULL,22635000,0.001126033
Professional and business services,5/1/2024,5,2024,22633000,17000,0.00075168,NULL,22626666,0.001126033
Professional and business services,6/1/2024,6,2024,22606000,-27000,-0.001192948,NULL,22618333,0.001126033
Professional and business services,7/1/2024,7,2024,22584000,-22000,-0.000973193,NULL,22607666,0.001126033
Professional and business services,8/1/2024,8,2024,22544000,-40000,-0.001771165,NULL,22578000,0.001126033
Professional and business services,9/1/2024,9,2024,22525000,-19000,-0.000842796,NULL,22551000,0.001126033
Professional and business services,10/1/2024,10,2024,22486000,-39000,-0.00173141,NULL,22518333,0.001126033
Professional and business services,11/1/2024,11,2024,22499000,13000,0.000578138,NULL,22503333,0.001126033
Professional and business services,12/1/2024,12,2024,22532000,33000,0.001466732,NULL,22505666,0.001126033
Professional and business services,1/1/2025,1,2025,22480000,-52000,-0.002307829,-0.00829363,22503666,0.001126033
Professional and business services,2/1/2025,2,2025,22473000,-7000,-0.000311388,-0.008164887,22495000,0.001126033
Professional and business services,3/1/2025,3,2025,22457000,-16000,-0.000711965,-0.007688569,22470000,0.001126033
Professional and business services,4/1/2025,4,2025,22470000,13000,0.000578884,-0.006455607,22466666,0.001126033
Professional and business services,5/1/2025,5,2025,22450000,-20000,-0.000890076,-0.008085539,22459000,0.001126033
Professional and business services,6/1/2025,6,2025,22419000,-31000,-0.001380846,-0.00827214,22446333,0.001126033
Professional and business services,7/1/2025,7,2025,22403000,-16000,-0.00071368,-0.008014524,22424000,0.001126033
Professional and business services,8/1/2025,8,2025,22375000,-28000,-0.001249833,-0.007496451,22399000,0.001126033
Professional and business services,9/1/2025,9,2025,22359000,-16000,-0.000715084,-0.007369589,22379000,0.001126033
Professional and business services,10/1/2025,10,2025,22335000,-24000,-0.001073393,-0.00671529,22356333,0.001126033
Professional and business services,11/1/2025,11,2025,22391000,56000,0.002507276,-0.004800213,22361666,0.001126033
Professional and business services,12/1/2025,12,2025,22406000,15000,0.000669912,-0.005592047,22377333,0.001126033
Retail trade,1/1/2024,1,2024,15524000,NULL,NULL,NULL,15524000,0.00129893
Retail trade,2/1/2024,2,2024,15529000,5000,0.000322082,NULL,15526500,0.00129893
Retail trade,3/1/2024,3,2024,15529000,0,0,NULL,15527333,0.00129893
Retail trade,4/1/2024,4,2024,15531000,2000,0.000128791,NULL,15529666,0.00129893
Retail trade,5/1/2024,5,2024,15536000,5000,0.000321937,NULL,15532000,0.00129893
Retail trade,6/1/2024,6,2024,15500000,-36000,-0.002317199,NULL,15522333,0.00129893
Retail trade,7/1/2024,7,2024,15481000,-19000,-0.001225806,NULL,15505666,0.00129893
Retail trade,8/1/2024,8,2024,15458000,-23000,-0.001485692,NULL,15479666,0.00129893
Retail trade,9/1/2024,9,2024,15457000,-1000,-6.46914E-05,NULL,15465333,0.00129893
Retail trade,10/1/2024,10,2024,15452000,-5000,-0.000323478,NULL,15455666,0.00129893
Retail trade,11/1/2024,11,2024,15410000,-42000,-0.002718095,NULL,15439666,0.00129893
Retail trade,12/1/2024,12,2024,15460000,50000,0.003244646,NULL,15440666,0.00129893
Retail trade,1/1/2025,1,2025,15459000,-1000,-6.46831E-05,-0.004187065,15443000,0.00129893
Retail trade,2/1/2025,2,2025,15442000,-17000,-0.001099683,-0.005602421,15453666,0.00129893
Retail trade,3/1/2025,3,2025,15458000,16000,0.001036135,-0.004572091,15453000,0.00129893
Retail trade,4/1/2025,4,2025,15462000,4000,0.000258766,-0.004442727,15454000,0.00129893
Retail trade,5/1/2025,5,2025,15440000,-22000,-0.001422843,-0.006179197,15453333,0.00129893
Retail trade,6/1/2025,6,2025,15426000,-14000,-0.000906736,-0.004774194,15442666,0.00129893
Retail trade,7/1/2025,7,2025,15430000,4000,0.000259302,-0.003294361,15432000,0.00129893
Retail trade,8/1/2025,8,2025,15440000,10000,0.000648088,-0.001164446,15432000,0.00129893
Retail trade,9/1/2025,9,2025,15453000,13000,0.000841969,-0.000258782,15441000,0.00129893
Retail trade,10/1/2025,10,2025,15438000,-15000,-0.000970685,-0.000906032,15443666,0.00129893
Retail trade,11/1/2025,11,2025,15437000,-1000,-6.47752E-05,0.001752109,15442666,0.00129893
Retail trade,12/1/2025,12,2025,15402000,-35000,-0.00226728,-0.003751617,15425666,0.00129893
