industry_name,series_id,year,month,date,employment,month_name,quarter
Health care and social assistance,CES6562000001,2024,3,3/1/2024,22277,Mar,Q1
Health care and social assistance,CES6562000001,2024,4,4/1/2024,22359,Apr,Q2
Health care and social assistance,CES6562000001,2024,5,5/1/2024,22425,May,Q2
Health care and social assistance,CES6562000001,2024,6,6/1/2024,22494,Jun,Q2
Health care and social assistance,CES6562000001,2024,7,7/1/2024,22542,Jul,Q3
Health care and social assistance,CES6562000001,2024,8,8/1/2024,22587,Aug,Q3
Health care and social assistance,CES6562000001,2024,9,9/1/2024,22674,Sep,Q3
Health care and social assistance,CES6562000001,2024,10,10/1/2024,22755,Oct,Q4
Health care and social assistance,CES6562000001,2024,11,11/1/2024,22832,Nov,Q4
Health care and social assistance,CES6562000001,2024,12,12/1/2024,22901,Dec,Q4
Health care and social assistance,CES6562000001,2025,1,1/1/2025,22960,Jan,Q1
Health care and social assistance,CES6562000001,2025,2,2/1/2025,23008,Feb,Q1
Health care and social assistance,CES6562000001,2025,3,3/1/2025,23076,Mar,Q1
Health care and social assistance,CES6562000001,2025,4,4/1/2025,23152,Apr,Q2
Health care and social assistance,CES6562000001,2025,5,5/1/2025,23217,May,Q2
Health care and social assistance,CES6562000001,2025,6,6/1/2025,23278,Jun,Q2
Health care and social assistance,CES6562000001,2025,7,7/1/2025,23360,Jul,Q3
Health care and social assistance,CES6562000001,2025,8,8/1/2025,23383,Aug,Q3
Health care and social assistance,CES6562000001,2025,9,9/1/2025,23438,Sep,Q3
Health care and social assistance,CES6562000001,2025,10,10/1/2025,23486,Oct,Q4
Health care and social assistance,CES6562000001,2025,11,11/1/2025,23546,Nov,Q4
Health care and social assistance,CES6562000001,2025,12,12/1/2025,23595,Dec,Q4
Information,CES5000000001,2024,1,1/1/2024,2963,Jan,Q1
Information,CES5000000001,2024,2,2/1/2024,2958,Feb,Q1
Information,CES5000000001,2024,3,3/1/2024,2951,Mar,Q1
Information,CES5000000001,2024,4,4/1/2024,2940,Apr,Q2
Information,CES5000000001,2024,5,5/1/2024,2930,May,Q2
Information,CES5000000001,2024,6,6/1/2024,2930,Jun,Q2
Information,CES5000000001,2024,7,7/1/2024,2917,Jul,Q3
Information,CES5000000001,2024,8,8/1/2024,2909,Aug,Q3
Information,CES5000000001,2024,9,9/1/2024,2903,Sep,Q3
Information,CES5000000001,2024,10,10/1/2024,2887,Oct,Q4
Information,CES5000000001,2024,11,11/1/2024,2885,Nov,Q4
Information,CES5000000001,2024,12,12/1/2024,2895,Dec,Q4
Information,CES5000000001,2025,1,1/1/2025,2877,Jan,Q1
Information,CES5000000001,2025,2,2/1/2025,2876,Feb,Q1
Information,CES5000000001,2025,3,3/1/2025,2867,Mar,Q1
Information,CES5000000001,2025,4,4/1/2025,2865,Apr,Q2
Information,CES5000000001,2025,5,5/1/2025,2864,May,Q2
Information,CES5000000001,2025,6,6/1/2025,2863,Jun,Q2
Information,CES5000000001,2025,7,7/1/2025,2861,Jul,Q3
Information,CES5000000001,2025,8,8/1/2025,2860,Aug,Q3
Information,CES5000000001,2025,9,9/1/2025,2859,Sep,Q3
Information,CES5000000001,2025,10,10/1/2025,2853,Oct,Q4
Information,CES5000000001,2025,11,11/1/2025,2848,Nov,Q4
Information,CES5000000001,2025,12,12/1/2025,2842,Dec,Q4
Leisure and hospitality,CES7000000001,2024,1,1/1/2024,16716,Jan,Q1
Leisure and hospitality,CES7000000001,2024,2,2/1/2024,16744,Feb,Q1
Leisure and hospitality,CES7000000001,2024,3,3/1/2024,16780,Mar,Q1
Leisure and hospitality,CES7000000001,2024,4,4/1/2024,16762,Apr,Q2
Leisure and hospitality,CES7000000001,2024,5,5/1/2024,16731,May,Q2
Leisure and hospitality,CES7000000001,2024,6,6/1/2024,16744,Jun,Q2
Leisure and hospitality,CES7000000001,2024,7,7/1/2024,16751,Jul,Q3
Leisure and hospitality,CES7000000001,2024,8,8/1/2024,16746,Aug,Q3
Leisure and hospitality,CES7000000001,2024,9,9/1/2024,16776,Sep,Q3
Leisure and hospitality,CES7000000001,2024,10,10/1/2024,16799,Oct,Q4
Leisure and hospitality,CES7000000001,2024,11,11/1/2024,16823,Nov,Q4
Leisure and hospitality,CES7000000001,2024,12,12/1/2024,16862,Dec,Q4
Leisure and hospitality,CES7000000001,2025,1,1/1/2025,16832,Jan,Q1
Leisure and hospitality,CES7000000001,2025,2,2/1/2025,16796,Feb,Q1
Leisure and hospitality,CES7000000001,2025,3,3/1/2025,16823,Mar,Q1
Leisure and hospitality,CES7000000001,2025,4,4/1/2025,16836,Apr,Q2
Leisure and hospitality,CES7000000001,2025,5,5/1/2025,16839,May,Q2
Leisure and hospitality,CES7000000001,2025,6,6/1/2025,16837,Jun,Q2
Leisure and hospitality,CES7000000001,2025,7,7/1/2025,16848,Jul,Q3
Leisure and hospitality,CES7000000001,2025,8,8/1/2025,16870,Aug,Q3
Leisure and hospitality,CES7000000001,2025,9,9/1/2025,16907,Sep,Q3
Leisure and hospitality,CES7000000001,2025,10,10/1/2025,16948,Oct,Q4
Leisure and hospitality,CES7000000001,2025,11,11/1/2025,16936,Nov,Q4
Leisure and hospitality,CES7000000001,2025,12,12/1/2025,16981,Dec,Q4
Manufacturing,CES3000000001,2024,1,1/1/2024,12875,Jan,Q1
Manufacturing,CES3000000001,2024,2,2/1/2024,12852,Feb,Q1
Manufacturing,CES3000000001,2024,3,3/1/2024,12836,Mar,Q1
Manufacturing,CES3000000001,2024,4,4/1/2024,12833,Apr,Q2
Manufacturing,CES3000000001,2024,5,5/1/2024,12825,May,Q2
Manufacturing,CES3000000001,2024,6,6/1/2024,12814,Jun,Q2
Manufacturing,CES3000000001,2024,7,7/1/2024,12806,Jul,Q3
Manufacturing,CES3000000001,2024,8,8/1/2024,12772,Aug,Q3
Manufacturing,CES3000000001,2024,9,9/1/2024,12758,Sep,Q3
Manufacturing,CES3000000001,2024,10,10/1/2024,12697,Oct,Q4
Manufacturing,CES3000000001,2024,11,11/1/2024,12711,Nov,Q4
Manufacturing,CES3000000001,2024,12,12/1/2024,12693,Dec,Q4
Manufacturing,CES3000000001,2025,1,1/1/2025,12673,Jan,Q1
Manufacturing,CES3000000001,2025,2,2/1/2025,12671,Feb,Q1
Manufacturing,CES3000000001,2025,3,3/1/2025,12666,Mar,Q1
Manufacturing,CES3000000001,2025,4,4/1/2025,12662,Apr,Q2
Manufacturing,CES3000000001,2025,5,5/1/2025,12651,May,Q2
Manufacturing,CES3000000001,2025,6,6/1/2025,12636,Jun,Q2
Manufacturing,CES3000000001,2025,7,7/1/2025,12625,Jul,Q3
Manufacturing,CES3000000001,2025,8,8/1/2025,12615,Aug,Q3
Manufacturing,CES3000000001,2025,9,9/1/2025,12612,Sep,Q3
Manufacturing,CES3000000001,2025,10,10/1/2025,12603,Oct,Q4
Manufacturing,CES3000000001,2025,11,11/1/2025,12593,Nov,Q4
Manufacturing,CES3000000001,2025,12,12/1/2025,12585,Dec,Q4
Professional and business services,CES6000000001,2024,1,1/1/2024,22668,Jan,Q1
Professional and business services,CES6000000001,2024,2,2/1/2024,22658,Feb,Q1
Professional and business services,CES6000000001,2024,3,3/1/2024,22631,Mar,Q1
Professional and business services,CES6000000001,2024,4,4/1/2024,22616,Apr,Q2
Professional and business services,CES6000000001,2024,5,5/1/2024,22633,May,Q2
Professional and business services,CES6000000001,2024,6,6/1/2024,22606,Jun,Q2
Professional and business services,CES6000000001,2024,7,7/1/2024,22584,Jul,Q3
Professional and business services,CES6000000001,2024,8,8/1/2024,22544,Aug,Q3
Professional and business services,CES6000000001,2024,9,9/1/2024,22525,Sep,Q3
Professional and business services,CES6000000001,2024,10,10/1/2024,22486,Oct,Q4
Professional and business services,CES6000000001,2024,11,11/1/2024,22499,Nov,Q4
Professional and business services,CES6000000001,2024,12,12/1/2024,22532,Dec,Q4
Professional and business services,CES6000000001,2025,1,1/1/2025,22480,Jan,Q1
Professional and business services,CES6000000001,2025,2,2/1/2025,22473,Feb,Q1
Professional and business services,CES6000000001,2025,3,3/1/2025,22457,Mar,Q1
Professional and business services,CES6000000001,2025,4,4/1/2025,22470,Apr,Q2
Professional and business services,CES6000000001,2025,5,5/1/2025,22450,May,Q2
Professional and business services,CES6000000001,2025,6,6/1/2025,22419,Jun,Q2
Professional and business services,CES6000000001,2025,7,7/1/2025,22403,Jul,Q3
Professional and business services,CES6000000001,2025,8,8/1/2025,22375,Aug,Q3
Professional and business services,CES6000000001,2025,9,9/1/2025,22359,Sep,Q3
Professional and business services,CES6000000001,2025,10,10/1/2025,22335,Oct,Q4
Professional and business services,CES6000000001,2025,11,11/1/2025,22391,Nov,Q4
Professional and business services,CES6000000001,2025,12,12/1/2025,22406,Dec,Q4
Retail trade,CES4200000001,2024,1,1/1/2024,15524,Jan,Q1
Retail trade,CES4200000001,2024,2,2/1/2024,15529,Feb,Q1
Retail trade,CES4200000001,2024,3,3/1/2024,15529,Mar,Q1
Retail trade,CES4200000001,2024,4,4/1/2024,15531,Apr,Q2
Retail trade,CES4200000001,2024,5,5/1/2024,15536,May,Q2
Retail trade,CES4200000001,2024,6,6/1/2024,15500,Jun,Q2
Retail trade,CES4200000001,2024,7,7/1/2024,15481,Jul,Q3
Retail trade,CES4200000001,2024,8,8/1/2024,15458,Aug,Q3
Retail trade,CES4200000001,2024,9,9/1/2024,15457,Sep,Q3
Retail trade,CES4200000001,2024,10,10/1/2024,15452,Oct,Q4
Retail trade,CES4200000001,2024,11,11/1/2024,15410,Nov,Q4
Retail trade,CES4200000001,2024,12,12/1/2024,15460,Dec,Q4
Retail trade,CES4200000001,2025,1,1/1/2025,15459,Jan,Q1
Retail trade,CES4200000001,2025,2,2/1/2025,15442,Feb,Q1
Retail trade,CES4200000001,2025,3,3/1/2025,15458,Mar,Q1
Retail trade,CES4200000001,2025,4,4/1/2025,15462,Apr,Q2
Retail trade,CES4200000001,2025,5,5/1/2025,15440,May,Q2
Retail trade,CES4200000001,2025,6,6/1/2025,15426,Jun,Q2
Retail trade,CES4200000001,2025,7,7/1/2025,15430,Jul,Q3
Retail trade,CES4200000001,2025,8,8/1/2025,15440,Aug,Q3
Retail trade,CES4200000001,2025,9,9/1/2025,15453,Sep,Q3
Retail trade,CES4200000001,2025,10,10/1/2025,15438,Oct,Q4
Retail trade,CES4200000001,2025,11,11/1/2025,15437,Nov,Q4
Retail trade,CES4200000001,2025,12,12/1/2025,15402,Dec,Q4
Total nonfarm,CES0000000001,2024,1,1/1/2024,157032,Jan,Q1
Total nonfarm,CES0000000001,2024,2,2/1/2024,157238,Feb,Q1
Total nonfarm,CES0000000001,2024,3,3/1/2024,157466,Mar,Q1
Total nonfarm,CES0000000001,2024,4,4/1/2024,157530,Apr,Q2
Total nonfarm,CES0000000001,2024,5,5/1/2024,157608,May,Q2
Total nonfarm,CES0000000001,2024,6,6/1/2024,157695,Jun,Q2
Total nonfarm,CES0000000001,2024,7,7/1/2024,157748,Jul,Q3
Total nonfarm,CES0000000001,2024,8,8/1/2024,157757,Aug,Q3
Total nonfarm,CES0000000001,2024,9,9/1/2024,157912,Sep,Q3
Total nonfarm,CES0000000001,2024,10,10/1/2024,157945,Oct,Q4
Total nonfarm,CES0000000001,2024,11,11/1/2024,158079,Nov,Q4
Total nonfarm,CES0000000001,2024,12,12/1/2024,158316,Dec,Q4
Total nonfarm,CES0000000001,2025,1,1/1/2025,158268,Jan,Q1
Total nonfarm,CES0000000001,2025,2,2/1/2025,158310,Feb,Q1
Total nonfarm,CES0000000001,2025,3,3/1/2025,158377,Mar,Q1
Total nonfarm,CES0000000001,2025,4,4/1/2025,158485,Apr,Q2
Total nonfarm,CES0000000001,2025,5,5/1/2025,158498,May,Q2
Total nonfarm,CES0000000001,2025,6,6/1/2025,158478,Jun,Q2
Total nonfarm,CES0000000001,2025,7,7/1/2025,158542,Jul,Q3
Total nonfarm,CES0000000001,2025,8,8/1/2025,158472,Aug,Q3
Total nonfarm,CES0000000001,2025,9,9/1/2025,158548,Sep,Q3
Total nonfarm,CES0000000001,2025,10,10/1/2025,158408,Oct,Q4
Total nonfarm,CES0000000001,2025,11,11/1/2025,158449,Nov,Q4
Total nonfarm,CES0000000001,2025,12,12/1/2025,158497,Dec,Q4
